//Branch,Name,FrEnode,ToEnode,Circuit,Voltage,Resistance,Reactance,NormalLimit,CtgLimit,Solve,Enforce,Monitor,Switchable,Penalty,AngleLimit,Hvdc,CID
1 5,1 ROANSPRARE 138 5 SANDYSW 138,1,5,1,138,0.002788,0.0149,275.555555555556,275.555555555556,1,1,,,,,,
1 964,1 ROANSPRARE 138 964 GIBN_CREK_8 138,1,964,1,138,0.008969,0.046064,177.777777777778,177.777777777778,1,1,,,,,,
1001 1009,1001 AROYA_8 138 1009 YUCCADR_8 138,1001,1009,1,138,0.000171,0.001327,866.666666666667,866.666666666667,1,1,,,,,,
1001 1010,1001 AROYA_8 138 1010 PERMIANB_8 138,1001,1010,1,138,1e-05,1e-04,1733.33333333333,1733.33333333333,1,1,,,,,,
1001 1013,1001 AROYA_8 138 1013 WOLFSS_8 138,1001,1013,1,138,0.000685,0.005306,866.666666666667,866.666666666667,1,1,,,,,,
10010 10011,10010 PRSTMDWS1_8 138 10011 PRSTMDWS2_8 138,10010,10011,1,138,0,1e-04,11110,11110,1,1,,,,,,
1009 1013,1009 YUCCADR_8 138 1013 WOLFSS_8 138,1009,1013,1,138,0.000548,0.004245,866.666666666667,866.666666666667,1,1,,,,,,
1009 1019,1009 YUCCADR_8 138 1019 MOSS_8 138,1009,1019,1,138,0.02397,0.13886,233.333333333333,233.333333333333,1,1,,,,,,
1009 1074,1009 YUCCADR_8 138 1074 WINKSS_8 138,1009,1074,1,138,0.009795,0.063686,441.111111111111,441.111111111111,1,1,,,,,,
1009 1080,1009 YUCCADR_8 138 1080 WHITOIL_8 138,1009,1080,1,138,0.001045,0.012192,686.666666666667,686.666666666667,1,1,,,,,,
1009 1106,1009 YUCCADR_8 138 1106 MONAHN1_8 138,1009,1106,1,138,0.01211,0.01854,95.5555555555556,95.5555555555556,1,1,,,,,,
1009 11146,1009 YUCCADR_8 138 11146 BLCKLINE_8 138,1009,11146,1,138,0.011702,0.054909,212.222222222222,212.222222222222,1,1,,,,,,
1009 11197,1009 YUCCADR_8 138 11197 SANDTANK_8 138,1009,11197,1,138,0.011313,0.132008,686.666666666667,686.666666666667,1,1,,,,,,
1009 24008,1009 YUCCADR_8 138 24008 YUCSW1_1 1,1009,24008,1,138,0.0011428,0.093441,196.666666666667,208.888888888889,1,1,,,,,,
1009 24009,1009 YUCCADR_8 138 24009 YUCSW2_1 1,1009,24009,1,138,0.0011428,0.093441,187.777777777778,208.888888888889,1,1,,,,,,
1009 60397,1009 YUCCADR_8 138 60397 GASPADTA4A 138,1009,60397,1,138,0.024962,0.089827,394.777777777778,394.777777777778,1,1,,,,,,
1009 900008,1009 YUCCADR_8 138 900008 YUCCADR_8 138,1009,900008,1,138,0,1e-04,11110,11110,1,1,,,,,,
1010 1087,1010 PERMIANB_8 138 1087 WRDGLFTA_8 138,1010,1087,1,138,3e-04,0.00112,318.888888888889,318.888888888889,1,1,,,,,,
1010 18100,1010 PERMIANB_8 138 18100 PBGENBUS_B 138,1010,18100,1,138,5e-06,1e-04,22220,22220,1,1,,,,,,
1010 18105,1010 PERMIANB_8 138 18105 PB5GEN_8 138,1010,18105,1,138,1e-05,1e-04,11110,11110,1,1,,,,,,
1010 24093,1010 PERMIANB_8 138 24093 PBSES1_1 1,1010,24093,1,138,0.0042,0.1971,68.8888888888889,83.3333333333333,1,1,,,,,,
1010 60397,1010 PERMIANB_8 138 60397 GASPADTA4A 138,1010,60397,1,138,0.024962,0.089827,393.777777777778,393.777777777778,1,1,,,,,,
1010 900008,1010 PERMIANB_8 138 900008 YUCCADR_8 138,1010,900008,1,138,0.000475,0.003088,325.555555555556,325.555555555556,1,1,,,,,,
1010 900072,1010 PERMIANB_8 138 900072 WINKSS_8 138,1010,900072,1,138,0.009863,0.065446,441.111111111111,441.111111111111,1,1,,,,,,
1010 900654,1010 PERMIANB_8 138 900654 NOTREES_SE_8 138,1010,900654,1,138,0.021592,0.101527,212.222222222222,212.222222222222,1,1,,,,,,
1010 902554,1010 PERMIANB_8 138 902554 PB5GEN_8 138,1010,902554,1,138,1e-05,1e-04,11110,11110,1,1,,,,,,
1012 1080,1012 PIRCOVE_8 138 1080 WHITOIL_8 138,1012,1080,1,138,0.00277,0.032904,686.666666666667,686.666666666667,1,1,,,,,,
1012 1086,1012 PIRCOVE_8 138 1086 BARSTOWNW_8 138,1012,1086,1,138,7e-06,1e-04,686.666666666667,686.666666666667,1,1,,,,,,
1012 11086,1012 PIRCOVE_8 138 11086 MCHALAM_8 138,1012,11086,1,138,0.014313,0.170024,686.666666666667,686.666666666667,1,1,,,,,,
1013 1087,1013 WOLFSS_8 138 1087 WRDGLFTA_8 138,1013,1087,1,138,0.000252,0.001416,441.111111111111,441.111111111111,1,1,,,,,,
1013 1103,1013 WOLFSS_8 138 1103 SANDHLTA_8 138,1013,1103,1,138,0.011976,0.056194,212.222222222222,212.222222222222,1,1,,,,,,
1013 1107,1013 WOLFSS_8 138 1107 MONAHN2T_8 138,1013,1107,1,138,0.001292,0.007028,233.333333333333,233.333333333333,1,1,,,,,,
1013 1292,1013 WOLFSS_8 138 1292 ECTRHARP_8 138,1013,1292,1,138,0.01819,0.119539,325.555555555556,325.555555555556,1,1,,,,,,
1014 24082,1014 MIDLNDE_3 12 24082 MDLNE1_1 1,1014,24082,1,12,0.0073819,0.41922,127.555555555556,127.555555555556,1,1,,,,,,
1015 1010,1015 PERMIANB_9 69 1010 PERMIANB_8 138,1015,1010,1,138,0.0067,0.1498,73.3333333333333,83.3333333333333,1,1,,,,,,
1015 1202,1015 PERMIANB_9 69 1202 WARDSS_9 69,1015,1202,1,69,0.15367,0.22979,40,40,1,1,,,,,,
1015 24093,1015 PERMIANB_9 69 24093 PBSES1_1 1,1015,24093,1,69,0.0013,-0.0479,68.8888888888889,83.3333333333333,1,1,,,,,,
1015 37980,1015 PERMIANB_9 69 37980 TNWICKETT_0 69,1015,37980,1,69,0.01573,0.07624,98.8888888888889,98.8888888888889,1,1,,,,,,
1015 900914,1015 PERMIANB_9 69 900914 ROYALTY_9 69,1015,900914,1,69,0.10046,0.26264,71.1111111111111,71.1111111111111,1,1,,,,,,
1015 901041,1015 PERMIANB_9 69 901041 WICKETT_9 69,1015,901041,1,69,0.03312,0.06862,80,80,1,1,,,,,,
1016 1028,1016 ODEHV3T_5 345 1028 ODEHVC_5 345,1016,1028,1,345,0,1e-04,11110,11110,1,1,,,,,,
1016 1029,1016 ODEHV3T_5 345 1029 ODEHVD_5 345,1016,1029,1,345,0,1e-04,11110,11110,1,1,,,,,,
1016 24109,1016 ODEHV3T_5 345 24109 ODEHV3_1 1,1016,24109,1,345,0.0002234,0.024294,522.222222222222,604.444444444444,1,1,,,,,,
1018 11028,1018 MOSS_5 345 11028 ODESEHV2_5 345,1018,11028,1,345,0.00082,0.00714,1220,1220,1,1,,,,,,
1018 1185,1018 MOSS_5 345 1185 MIDCONW_5 345,1018,1185,1,345,0.001357,0.011818,1220,1220,1,1,,,,,,
1018 24033,1018 MOSS_5 345 24033 MOSSW1_1 1,1018,24033,1,345,5.4384e-05,0.015592,568.888888888889,646.666666666667,1,1,,,,,,
1019 1113,1019 MOSS_8 138 1113 ODESASW1_8 138,1019,1113,1,138,0.004123,0.027059,441.111111111111,441.111111111111,1,1,,,,,,
1019 1129,1019 MOSS_8 138 1129 WESTOVER_8 138,1019,1129,1,138,0.00203,0.013495,441.111111111111,441.111111111111,1,1,,,,,,
1019 1143,1019 MOSS_8 138 1143 AMOCNCTA_8 138,1019,1143,1,138,0.007709,0.049999,441.111111111111,441.111111111111,1,1,,,,,,
1019 1176,1019 MOSS_8 138 1176 GRANDVEW_8 138,1019,1176,1,138,0.01817,0.10316,244.444444444444,244.444444444444,1,1,,,,,,
1019 1180,1019 MOSS_8 138 1180 ECTRHILL_8 138,1019,1180,1,138,0.00807,0.04586,233.333333333333,233.333333333333,1,1,,,,,,
1019 1250,1019 MOSS_8 138 1250 YUKONSS_8 138,1019,1250,1,138,0.004781,0.031369,866.666666666667,866.666666666667,1,1,,,,,,
1019 1292,1019 MOSS_8 138 1292 ECTRHARP_8 138,1019,1292,1,138,0.001364,0.008965,325.555555555556,325.555555555556,1,1,,,,,,
1019 24033,1019 MOSS_8 138 24033 MOSSW1_1 1,1019,24033,1,138,0.00028177,0.0065723,568.888888888889,646.666666666667,1,1,,,,,,
1020 1028,1020 ODEHV1T_5 345 1028 ODEHVC_5 345,1020,1028,1,345,0,1e-04,11110,11110,1,1,,,,,,
1020 1029,1020 ODEHV1T_5 345 1029 ODEHVD_5 345,1020,1029,1,345,0,1e-04,11110,11110,1,1,,,,,,
1020 130327,1020 ODEHV1T_5 345 130327 OECCS_1_5 345,1020,130327,1,345,1e-06,1e-04,1220,1220,1,1,,,,,,
1021 1022,1021 MIDLET_5 345 1022 MIDLNDE_5 345,1021,1022,1,345,0,1e-04,11110,11110,1,1,,,,,,
1021 1025,1021 MIDLET_5 345 1025 FSCOGEN_5 345,1021,1025,1,345,0.00268,0.02458,1168.88888888889,1168.88888888889,1,1,,,,,,
1021 24082,1021 MIDLET_5 345 24082 MDLNE1_1 1,1021,24082,1,345,-0.00032434,-0.034985,531.111111111111,588.888888888889,1,1,,,,,,
1022 1185,1022 MIDLNDE_5 345 1185 MIDCONW_5 345,1022,1185,1,345,0.000941,0.008197,1220,1220,1,1,,,,,,
1023 1116,1023 MIDLNDE_8 138 1116 WINDWOOD_8 138,1023,1116,1,138,0.000546,0.006372,531.111111111111,531.111111111111,1,1,,,,,,
1023 11230,1023 MIDLNDE_8 138 11230 ELKINS_8 138,1023,11230,1,138,0.00155,0.01005,441.111111111111,441.111111111111,1,1,,,,,,
1023 1132,1023 MIDLNDE_8 138 1132 MIDLDWNT_8 138,1023,1132,1,138,0.0029,0.01336,212.222222222222,212.222222222222,1,1,,,,,,
1023 1178,1023 MIDLNDE_8 138 1178 ADOBEMEW_8 138,1023,1178,1,138,0.00204,0.01162,244.444444444444,244.444444444444,1,1,,,,,,
1023 1184,1023 MIDLNDE_8 138 1184 GODDARD_8 138,1023,1184,1,138,0.00615,0.03493,244.444444444444,244.444444444444,1,1,,,,,,
1023 24082,1023 MIDLNDE_8 138 24082 MDLNE1_1 1,1023,24082,1,138,0.00081165,0.072015,531.111111111111,588.888888888889,1,1,,,,,,
1024 130001,1024 FSCOGEN_8 138 130001 FLCNS_UNIT1 13.8,1024,130001,1,138,0.00344,0.12895,111.111111111111,111.111111111111,1,1,,,,,,
1024 130002,1024 FSCOGEN_8 138 130002 FLCNS_UNIT2 13.8,1024,130002,1,138,0.00337,0.12796,111.111111111111,111.111111111111,1,1,,,,,,
1024 130003,1024 FSCOGEN_8 138 130003 FLCNS_UNIT3 13.8,1024,130003,1,138,0.00355,0.12895,111.111111111111,111.111111111111,1,1,,,,,,
1025 1024,1025 FSCOGEN_5 345 1024 FSCOGEN_8 138,1025,1024,1,345,0.00095,0.05799,555.555555555556,555.555555555556,1,1,,,,,,
1025 1030,1025 FSCOGEN_5 345 1030 MRGNCRK_5 345,1025,1030,1,345,0.002,0.01833,1062.22222222222,1062.22222222222,1,1,,,,,,
1026 1028,1026 ODEHV2T_5 345 1028 ODEHVC_5 345,1026,1028,1,345,0,1e-04,11110,11110,1,1,,,,,,
1026 1029,1026 ODEHV2T_5 345 1029 ODEHVD_5 345,1026,1029,1,345,0,1e-04,11110,11110,1,1,,,,,,
1026 130328,1026 ODEHV2T_5 345 130328 OECCS_2_5 345,1026,130328,1,345,1e-06,1e-04,1220,1220,1,1,,,,,,
1027 1052,1027 ODESEHV_8 138 1052 REXALL_8 138,1027,1052,1,138,0.000494,0.001808,283.333333333333,283.333333333333,1,1,,,,,,
1027 1055,1027 ODESEHV_8 138 1055 NYLONTAP_8 138,1027,1055,1,138,0.00264,0.01501,244.444444444444,244.444444444444,1,1,,,,,,
1027 1107,1027 ODESEHV_8 138 1107 MONAHN2T_8 138,1027,1107,1,138,0.02893,0.16767,233.333333333333,233.333333333333,1,1,,,,,,
1027 1111,1027 ODESEHV_8 138 1111 BIG3ODTA_8 138,1027,1111,1,138,0.00299,0.017,441.111111111111,441.111111111111,1,1,,,,,,
1027 11127,1027 ODESEHV_8 138 11127 LIQAIRTP_8 138,1027,11127,1,138,0.000442,0.005157,531.111111111111,531.111111111111,1,1,,,,,,
1027 1128,1027 ODESEHV_8 138 1128 LIQDAIR_8 138,1027,1128,1,138,0.00019,0.00202,372.222222222222,372.222222222222,1,1,,,,,,
1027 24089,1027 ODESEHV_8 138 24089 ODEHV1_1 1,1027,24089,1,138,0.00036857,0.0024238,535.555555555556,611.111111111111,1,1,,,,,,
1027 24090,1027 ODESEHV_8 138 24090 ODEHV2_1 1,1027,24090,1,138,0.00019513,0.0037734,696.666666666667,784.444444444445,1,1,,,,,,
1027 24109,1027 ODESEHV_8 138 24109 ODEHV3_1 1,1027,24109,1,138,0.00062151,0.014486,522.222222222222,604.444444444444,1,1,,,,,,
1027 71230,1027 ODESEHV_8 138 71230 L_PLEAFA8_1Y 138,1027,71230,1,138,0.003556,0.027841,493.333333333333,493.333333333333,1,1,,,,,,
1027 900624,1027 ODESEHV_8 138 900624 HEADLEE_8 138,1027,900624,1,138,0.001091,0.011312,371.111111111111,371.111111111111,1,1,,,,,,
1028 11028,1028 ODEHVC_5 345 11028 ODESEHV2_5 345,1028,11028,1,345,0,1e-04,11110,11110,1,1,,,,,,
1028 24090,1028 ODEHVC_5 345 24090 ODEHV2_1 1,1028,24090,1,345,0.00010416,0.011112,696.666666666667,784.444444444445,1,1,,,,,,
1029 11028,1029 ODEHVD_5 345 11028 ODESEHV2_5 345,1029,11028,1,345,0,1e-04,11110,11110,1,1,,,,,,
1029 24089,1029 ODEHVD_5 345 24089 ODEHV1_1 1,1029,24089,1,345,4.0798e-05,0.022239,535.555555555556,611.111111111111,1,1,,,,,,
1030 1058,1030 MRGNCRK_5 345 1058 LONGSHORE_5 345,1030,1058,1,345,0.001998,0.017359,1220,1220,1,1,,,,,,
1030 11048,1030 MRGNCRK_5 345 11048 TONKAWAW_5 345,1030,11048,1,345,0.00111,0.01032,1257.77777777778,1257.77777777778,1,1,,,,,,
1030 1414,1030 MRGNCRK_5 345 1414 CHAMPNCRK_5 345,1030,1414,1,345,0.00062,0.00538,1257.77777777778,1257.77777777778,1,1,,,,,,
1030 19000,1030 MRGNCRK_5 345 19000 LONGSHRFLY_5 345,1030,19000,1,345,0.001998,0.017359,1220,1220,1,1,,,,,,
1030 24016,1030 MRGNCRK_5 345 24016 700207_3STAR 1,1030,24016,1,345,0.00032979,0.030046,336.666666666667,372.222222222222,1,1,,,,,,
1030 24017,1030 MRGNCRK_5 345 24017 700208_3STAR 1,1030,24017,1,345,-0.00032196,-0.039314,357.777777777778,416.666666666667,1,1,,,,,,
1030 24018,1030 MRGNCRK_5 345 24018 700209_3STAR 1,1030,24018,1,345,0.00035556,0.02983,342.222222222222,390,1,1,,,,,,
1030 71050,1030 MRGNCRK_5 345 71050 L_BITTCR5_1Y 345,1030,71050,1,345,0.00179,0.01556,1257.77777777778,1257.77777777778,1,1,,,,,,
1030 76030,1030 MRGNCRK_5 345 76030 L_GASCCR5_1Y 345,1030,76030,1,345,0.000872,0.013803,1327.77777777778,1327.77777777778,1,1,,,,,,
1032 1064,1032 MRGNCRK_8 138 1064 SUN_8 138,1032,1064,1,138,0.02799,0.13167,206.666666666667,206.666666666667,1,1,,,,,,
1032 11342,1032 MRGNCRK_8 138 11342 LORAINES_8 138,1032,11342,1,138,0.02202,0.12532,217.777777777778,217.777777777778,1,1,,,,,,
1032 1189,1032 MRGNCRK_8 138 1189 BARBER_LK1_8 138,1032,1189,1,138,0.003984,0.018764,206.666666666667,206.666666666667,1,1,,,,,,
1032 1190,1032 MRGNCRK_8 138 1190 BARBER_LK2_8 138,1032,1190,1,138,0.003984,0.018764,206.666666666667,206.666666666667,1,1,,,,,,
1032 1332,1032 MRGNCRK_8 138 1332 COSDEN_8 138,1032,1332,1,138,0.04118,0.12398,318.888888888889,318.888888888889,1,1,,,,,,
1032 1333,1032 MRGNCRK_8 138 1333 MCDONALD_8 138,1032,1333,1,138,0.02715,0.12831,212.222222222222,212.222222222222,1,1,,,,,,
1032 24015,1032 MRGNCRK_8 138 24015 700206_3STAR 1,1032,24015,1,138,0.0010369,0.092363,196.666666666667,208.888888888889,1,1,,,,,,
1032 24016,1032 MRGNCRK_8 138 24016 700207_3STAR 1,1032,24016,1,138,0.00031527,0.0059487,336.666666666667,372.222222222222,1,1,,,,,,
1032 24017,1032 MRGNCRK_8 138 24017 700208_3STAR 1,1032,24017,1,138,0.00092733,0.077086,357.777777777778,416.666666666667,1,1,,,,,,
1032 24018,1032 MRGNCRK_8 138 24018 700209_3STAR 1,1032,24018,1,138,0.00035555,0.0064965,342.222222222222,390,1,1,,,,,,
1033 1348,1033 MRGNCRK_9 69 1348 WSTBROOK_9 69,1033,1348,1,69,0.05555,0.13311,72.2222222222222,72.2222222222222,1,1,,,,,,
1033 1378,1033 MRGNCRK_9 69 1378 COLOCITY_9 69,1033,1378,1,69,0.04082,0.12405,97.7777777777778,97.7777777777778,1,1,,,,,,
1033 24015,1033 MRGNCRK_9 69 24015 700206_3STAR 1,1033,24015,1,69,0.0012384,-0.013729,196.666666666667,208.888888888889,1,1,,,,,,
104 3283,104 BUTLER 138 3283 BUTLERMT_P8 138,104,3283,1,138,0.02892,0.04109,85.5555555555556,106.666666666667,1,1,,,,,,
1048 11048,1048 TONKAWA_5 345 11048 TONKAWAW_5 345,1048,11048,1,345,0,1e-04,11110,11110,1,1,,,,,,
1048 1430,1048 TONKAWA_5 345 1430 GRHAMSES1_5 345,1048,1430,1,345,0.00745,0.06903,1257.77777777778,1257.77777777778,1,1,,,,,,
1048 180953,1048 TONKAWA_5 345 180953 KIO_SWYD_1_5 345,1048,180953,1,345,0,1e-04,1194.44444444444,1194.44444444444,1,1,,,,,,
1048 180956,1048 TONKAWA_5 345 180956 KIO_SWYD_2_5 345,1048,180956,1,345,1e-05,1e-04,1194.44444444444,1194.44444444444,1,1,,,,,,
1048 180959,1048 TONKAWA_5 345 180959 KIO_SWYD_3_5 345,1048,180959,1,345,1e-04,1e-04,1191.11111111111,1191.11111111111,1,1,,,,,,
1048 180962,1048 TONKAWA_5 345 180962 KIO_SWYD_4_5 345,1048,180962,1,345,1e-05,1e-04,1191.11111111111,1191.11111111111,1,1,,,,,,
1048 900049,1048 TONKAWA_5 345 900049 TONKAWA_5 345,1048,900049,1,345,0,1e-04,11110,11110,1,1,,,,,,
1052 1053,1052 REXALL_8 138 1053 GENRUBR_8 138,1052,1053,1,138,0.00045,0.00209,212.222222222222,212.222222222222,1,1,,,,,,
1053 1054,1053 GENRUBR_8 138 1054 OLFNNSHL_8 138,1053,1054,1,138,0.00048,0.00268,244.444444444444,244.444444444444,1,1,,,,,,
1053 1099,1053 GENRUBR_8 138 1099 SWPORTAP_8 138,1053,1099,1,138,0.01284,0.06055,212.222222222222,212.222222222222,1,1,,,,,,
1054 1055,1054 OLFNNSHL_8 138 1055 NYLONTAP_8 138,1054,1055,1,138,0.00048,0.00269,244.444444444444,244.444444444444,1,1,,,,,,
1055 900055,1055 NYLONTAP_8 138 900055 NYLON_8 138,1055,900055,1,138,0.00156,0.00501,141.111111111111,141.111111111111,1,1,,,,,,
1056 1111,1056 NYLON_8 138 1111 BIG3ODTA_8 138,1056,1111,1,138,0.00124,0.00319,141.111111111111,141.111111111111,1,1,,,,,,
1056 1112,1056 NYLON_8 138 1112 BIG3OD_8 138,1056,1112,1,138,0.00043,0.00111,141.111111111111,141.111111111111,1,1,,,,,,
1056 900055,1056 NYLON_8 138 900055 NYLON_8 138,1056,900055,1,138,0,1e-04,11110,11110,1,1,,,,,,
1058 1125,1058 LONGSHORE_5 345 1125 MIDESSAS_5 345,1058,1125,1,345,0.002632,0.022866,1220,1220,1,1,,,,,,
1058 131352,1058 LONGSHORE_5 345 131352 PC_NORTH_1_5 345,1058,131352,1,345,1e-05,1e-04,1191.11111111111,1191.11111111111,1,1,,,,,,
1058 131652,1058 LONGSHORE_5 345 131652 ELB_1_5 345,1058,131652,1,345,0.000166,0.002016,1377.77777777778,1377.77777777778,1,1,,,,,,
1058 131755,1058 LONGSHORE_5 345 131755 PC2_SWYD_1_5 345,1058,131755,1,345,0.00087,0.00793,1191.11111111111,1191.11111111111,1,1,,,,,,
1059 1117,1059 MIDESSA_8 138 1117 MIDLANDW_8 138,1059,1117,1,138,0.00137,0.01423,542.222222222222,542.222222222222,1,1,,,,,,
1059 1138,1059 MIDESSA_8 138 1138 TEXASINS_8 138,1059,1138,1,138,0.00465,0.02188,542.222222222222,542.222222222222,1,1,,,,,,
1064 1067,1064 SUN_8 138 1067 GOLDENSW_8 138,1064,1067,1,138,0.001627,0.009237,444.444444444444,444.444444444444,1,1,,,,,,
1064 1311,1064 SUN_8 138 1311 SACROC_8 138,1064,1311,1,138,0.000613,0.005371,444.444444444444,444.444444444444,1,1,,,,,,
1064 180255,1064 SUN_8 138 180255 BRAZ_WND_3_8 138,1064,180255,1,138,0.006685,0.049971,247.777777777778,261.111111111111,1,1,,,,,,
1064 180445,1064 SUN_8 138 180445 MATKM_8 138,1064,180445,1,138,0.000125,0.000762,191.111111111111,238.888888888889,1,1,,,,,,
1067 1315,1067 GOLDENSW_8 138 1315 BRAND_8 138,1067,1315,1,138,0.000678,0.003849,444.444444444444,444.444444444444,1,1,,,,,,
1067 180653,1067 GOLDENSW_8 138 180653 CSEC_1_8 138,1067,180653,1,138,0.00443,0.028998,294.444444444444,454.444444444444,1,1,,,,,,
107 186,107 PRAIRIEHIL 69 186 NAVAROMILS 69,107,186,1,69,0.061641,0.329316,137.777777777778,137.777777777778,1,1,,,,,,
1074 1087,1074 WINKSS_8 138 1087 WRDGLFTA_8 138,1074,1087,1,138,0.0096,0.061653,321.111111111111,321.111111111111,1,1,,,,,,
1074 1092,1074 WINKSS_8 138 1092 LOVING_8 138,1074,1092,1,138,0.00524,0.061142,686.666666666667,686.666666666667,1,1,,,,,,
1074 11074,1074 WINKSS_8 138 11074 ORBISONT_8 138,1074,11074,1,138,0.002131,0.024862,686.666666666667,686.666666666667,1,1,,,,,,
1074 1147,1074 WINKSS_8 138 1147 CHEYENTA_8 138,1074,1147,1,138,0.01308,0.05417,194.444444444444,194.444444444444,1,1,,,,,,
1074 24007,1074 WINKSS_8 138 24007 WINKSS2_1 1,1074,24007,1,138,0.0046553,0.23854,65.5555555555556,70,1,1,,,,,,
1074 37900,1074 WINKSS_8 138 37900 TNWINK____1 138,1074,37900,1,138,0.00096,0.00569,242.222222222222,242.222222222222,1,1,,,,,,
1074 900069,1074 WINKSS_8 138 900069 WINKSS_8 138,1074,900069,1,138,0,1e-04,11110,11110,1,1,,,,,,
1074 900072,1074 WINKSS_8 138 900072 WINKSS_8 138,1074,900072,1,138,0,1e-04,11110,11110,1,1,,,,,,
1075 1074,1075 WINKSS_9 69 1074 WINKSS_8 138,1075,1074,1,138,0.007,0.1734,62.2222222222222,70,1,1,,,,,,
1075 1244,1075 WINKSS_9 69 1244 WINKBAET_9 69,1075,1244,1,69,0.05712,0.07249,71.1111111111111,71.1111111111111,1,1,,,,,,
1075 1245,1075 WINKSS_9 69 1245 WINKBAWT_9 69,1075,1245,1,69,0.00966,0.02525,68.8888888888889,68.8888888888889,1,1,,,,,,
1075 1252,1075 WINKSS_9 69 1252 VEST_9 69,1075,1252,1,69,0.09538,0.13397,47.7777777777778,47.7777777777778,1,1,,,,,,
1075 1296,1075 WINKSS_9 69 1296 NORTHWRD_9 69,1075,1296,1,69,0.06097,0.11807,95.5555555555556,95.5555555555556,1,1,,,,,,
1075 24007,1075 WINKSS_9 69 24007 WINKSS2_1 1,1075,24007,1,69,0.0035669,-0.04538,65.5555555555556,70,1,1,,,,,,
1075 37920,1075 WINKSS_9 69 37920 TNWINK____0 69,1075,37920,1,69,0.003466,0.01716,134.444444444444,134.444444444444,1,1,,,,,,
1077 11074,1077 BALDING_8 138 11074 ORBISONT_8 138,1077,11074,1,138,0.001484,0.009649,441.111111111111,441.111111111111,1,1,,,,,,
1079 1090,1079 SALTCRKW_8 138 1090 SCRWBEAN_8 138,1079,1090,1,138,0.000558,0.001316,95.5555555555556,95.5555555555556,1,1,,,,,,
1079 1095,1079 SALTCRKW_8 138 1095 SCRWBEAN_T8 138,1079,1095,1,138,0.000973,0.002293,95.5555555555556,95.5555555555556,1,1,,,,,,
1081 1092,1081 ANDRANCHT_8 138 1092 LOVING_8 138,1081,1092,1,138,0.001276,0.015208,531.111111111111,531.111111111111,1,1,,,,,,
1081 1093,1081 ANDRANCHT_8 138 1093 ELMAR_8 138,1081,1093,1,138,0,1e-04,743.333333333333,743.333333333333,1,1,,,,,,
1081 11094,1081 ANDRANCHT_8 138 11094 RETONE_8 138,1081,11094,1,138,0.002693,0.031418,686.666666666667,686.666666666667,1,1,,,,,,
1083 11079,1083 MIDCREST_8 138 11079 SALTCRKS_8 138,1083,11079,1,138,0.003024,0.035286,686.666666666667,686.666666666667,1,1,,,,,,
1083 11083,1083 MIDCREST_8 138 11083 RIVERTON_8 138,1083,11083,1,138,0.000369,0.004387,686.666666666667,686.666666666667,1,1,,,,,,
1084 1085,1084 ORLA_SW1_8 138 1085 RED_BLUFF1_8 138,1084,1085,1,138,1e-05,1e-04,137.777777777778,137.777777777778,1,1,,,,,,
1084 1095,1084 ORLA_SW1_8 138 1095 SCRWBEAN_T8 138,1084,1095,1,138,0.021962,0.034664,531.111111111111,531.111111111111,1,1,,,,,,
1084 11080,1084 ORLA_SW1_8 138 11080 THRMIDRW_8 138,1084,11080,1,138,0.000499,0.00582,542.222222222222,542.222222222222,1,1,,,,,,
1084 900084,1084 ORLA_SW1_8 138 900084 RED_BLUFF1_8 138,1084,900084,1,138,1e-05,1e-04,137.777777777778,137.777777777778,1,1,,,,,,
1085 900084,1085 RED_BLUFF1_8 138 900084 RED_BLUFF1_8 138,1085,900084,1,138,0,1e-04,11110,11110,1,1,,,,,,
1086 11182,1086 BARSTOWNW_8 138 11182 MCLLVAIN_8 138,1086,11182,1,138,0.003292,0.03842,686.666666666667,686.666666666667,1,1,,,,,,
1086 11197,1086 BARSTOWNW_8 138 11197 SANDTANK_8 138,1086,11197,1,138,0.004776,0.055728,686.666666666667,686.666666666667,1,1,,,,,,
1087 11087,1087 WRDGLFTA_8 138 11087 WRDGLF_W_8 138,1087,11087,1,138,0.00161,0.00422,141.111111111111,141.111111111111,1,1,,,,,,
1088 1089,1088 WICKETT_8 138 1089 WICKETAP_8 138,1088,1089,1,138,0.0037,0.0097,141.111111111111,141.111111111111,1,1,,,,,,
1088 1295,1088 WICKETT_8 138 1295 WICKETT_9 69,1088,1295,1,138,0.0064,0.1426,75.5555555555556,83.3333333333333,1,1,,,,,,
1089 11087,1089 WICKETAP_8 138 11087 WRDGLF_W_8 138,1089,11087,1,138,1e-05,1e-04,141.111111111111,141.111111111111,1,1,,,,,,
1089 11088,1089 WICKETAP_8 138 11088 WRDGLF_S_8 138,1089,11088,1,138,1e-05,1e-04,141.111111111111,141.111111111111,1,1,,,,,,
109001 109002,109001 LAR_BL_LARED 138 109002 LAR_BL_LAR02 138,109001,109002,1,138,0,1e-04,11110,11110,1,1,,,,,,
109001 109003,109001 LAR_BL_LARED 138 109003 LAR_BL_LAR03 138,109001,109003,1,138,0,1e-04,11110,11110,1,1,,,,,,
109001 160000,109001 LAR_BL_LARED 138 160000 LARD_VFT_GEN 138,109001,160000,1,138,0,1e-04,11110,11110,1,1,,,,,,
109020 109021,109020 BL__BL_BROWN 69 109021 BL_BL_BRN_1 69,109020,109021,1,69,0,1e-04,11110,11110,1,1,,,,,,
