//Branch,Name,FrEnode,ToEnode,Circuit,Voltage,Resistance,Reactance,NormalLimit,CtgLimit,Solve,Enforce,Monitor,Switchable,Penalty,AngleLimit,Hvdc,CID
170071 7310,170071 GID_GIDEONG1 18 7310 L_SIMGID8_1Y 138,170071,7310,1,138,0.00232,0.07997,199.111111111111,199.111111111111,1,1,,,,,,
170072 7310,170072 GID_GIDEONG2 18 7310 L_SIMGID8_1Y 138,170072,7310,1,138,0.00232,0.08059,199.111111111111,199.111111111111,1,1,,,,,,
170073 7310,170073 GID_GIDEONG3 22 7310 L_SIMGID8_1Y 138,170073,7310,1,138,0.00072,0.02939,472.888888888889,472.888888888889,1,1,,,,,,
170093 902156,170093 SDSES_1_8 138 902156 SDSES_1_8 138,170093,902156,1,138,0,1e-04,11110,11110,1,1,,,,,,
170094 170092,170094 SD5SES_1_8 138 170092 SD5SES_UNIT5 24,170094,170092,1,138,0.0002444,0.015697,800,800,1,1,,,,,,
170094 902156,170094 SD5SES_1_8 138 902156 SDSES_1_8 138,170094,902156,1,138,1e-04,1e-04,861.111111111111,861.111111111111,1,1,,,,,,
170101 7056,170101 FPPYD_FPP_G1 24 7056 L_FPPYD15_1Y 345,170101,7056,1,345,0.00036,0.02325,833.333333333333,833.333333333333,1,1,,,,,,
170102 7056,170102 FPPYD_FPP_G2 24 7056 L_FPPYD15_1Y 345,170102,7056,1,345,0.00037,0.02278,746.666666666667,746.666666666667,1,1,,,,,,
170134 5474,170134 BRA_AVR1_CT1 18 5474 AVR_STR1 1,170134,5474,1,18,0.000915,0.085098,233.333333333333,233.333333333333,1,1,,,,,,
170136 5474,170136 BRAU_AVR1_ST 18 5474 AVR_STR1 1,170136,5474,1,18,0.00138,0.09716,208.888888888889,208.888888888889,1,1,,,,,,
170137 5036,170137 BRAU_VHB6CT5 13.8 5036 BR_STR56 1,170137,5036,1,13.8,0.003062,0.10689,69.4444444444445,69.4444444444445,1,1,,,,,,
170138 5036,170138 BRAU_VHB6CT6 13.8 5036 BR_STR56 1,170138,5036,1,13.8,0.003169,0.1079,69.4444444444445,69.4444444444445,1,1,,,,,,
170139 5037,170139 BRAU_VHB6CT7 13.8 5037 BR_STR78 1,170139,5037,1,13.8,0.002806,0.10614,69.4444444444445,69.4444444444445,1,1,,,,,,
170140 5037,170140 BRAU_VHB6CT8 13.8 5037 BR_STR78 1,170140,5037,1,13.8,0.002908,0.10787,69.4444444444445,69.4444444444445,1,1,,,,,,
170153 170154,170153 DECKE_DPGT_1 13.8 170154 DECKE_DPGT_2 13.8,170153,170154,1,13.8,0,1e-04,11110,11110,1,1,,,,,,
170155 170156,170155 DECKE_DPGT_3 13.8 170156 DECKE_DPGT_4 13.8,170155,170156,1,13.8,0,1e-04,11110,11110,1,1,,,,,,
17016 24024,17016 FISHRDSS1_3 13.8 24024 FSHSW1_1 1,17016,24024,1,13.8,0.0025152,0.14463,83.3333333333333,83.3333333333333,1,1,,,,,,
170161 170167,170161 GUADG_GAS1 18.1 170167 GUADG_1_5 345,170161,170167,1,345,0.0014584,0.083258,233.333333333333,233.333333333333,1,1,,,,,,
170162 170167,170162 GUADG_GAS2 18.1 170167 GUADG_1_5 345,170162,170167,1,345,0.0014584,0.083258,233.333333333333,233.333333333333,1,1,,,,,,
170163 170167,170163 GUADG_STM5 18.1 170167 GUADG_1_5 345,170163,170167,1,345,0.0011447,0.065565,296.666666666667,296.666666666667,1,1,,,,,,
170164 170167,170164 GUADG_GAS3 18.1 170167 GUADG_1_5 345,170164,170167,1,345,0.0014584,0.083258,233.333333333333,233.333333333333,1,1,,,,,,
170165 170167,170165 GUADG_GAS4 18.1 170167 GUADG_1_5 345,170165,170167,1,345,0.0014584,0.083258,233.333333333333,233.333333333333,1,1,,,,,,
170166 170167,170166 GUADG_STM6 18.1 170167 GUADG_1_5 345,170166,170167,1,345,0.0011447,0.065565,296.666666666667,296.666666666667,1,1,,,,,,
17017 24040,17017 VALLYSES1_3 13.8 24040 VLSES1_1 1,17017,24040,1,13.8,0.0023367,0.11195,83.3333333333333,83.3333333333333,1,1,,,,,,
170174 170171,170174 LOSTPINE5 345 170171 LOS_LOSTPGT1 18,170174,170171,1,345,0.0012,0.0603,277.777777777778,277.777777777778,1,1,,,,,,
170174 170172,170174 LOSTPINE5 345 170172 LOS_LOSTPGT2 18,170174,170172,1,345,0.0012,0.0603,277.777777777778,277.777777777778,1,1,,,,,,
170174 170173,170174 LOSTPINE5 345 170173 LOS_LOSTPST1 18,170174,170173,1,345,0.0012,0.0603,277.777777777778,277.777777777778,1,1,,,,,,
170195 170191,170195 HAY_HAYSENG5 345 170191 HAY_HAYSENG1 21,170195,170191,1,345,0.00068,0.034639,388.888888888889,388.888888888889,1,1,,,,,,
170196 170192,170196 HAY_HAYSENG6 345 170192 HAY_HAYSENG2 21,170196,170192,1,345,0.00068,0.034639,388.888888888889,388.888888888889,1,1,,,,,,
170197 170193,170197 HAY_HAYSENG7 345 170193 HAY_HAYSENG3 21,170197,170193,1,345,0.00068,0.034639,388.888888888889,388.888888888889,1,1,,,,,,
170198 170194,170198 HAY_HAYSENG8 345 170194 HAY_HAYSENG4 21,170198,170194,1,345,0.00068,0.034639,388.888888888889,388.888888888889,1,1,,,,,,
170201 5362,170201 RIONOG_CT1 18 5362 RIONOG_1_5 345,170201,5362,1,345,0.00119,0.07728,233.333333333333,233.333333333333,1,1,,,,,,
170202 5362,170202 RIONOG_CT2 18 5362 RIONOG_1_5 345,170202,5362,1,345,0.0012,0.07669,233.333333333333,233.333333333333,1,1,,,,,,
170203 5362,170203 RIONOG_CT3 18 5362 RIONOG_1_5 345,170203,5362,1,345,0.00121,0.0767,233.333333333333,233.333333333333,1,1,,,,,,
170204 5362,170204 RIONOG_ST1 22 5362 RIONOG_1_5 345,170204,5362,1,345,0.00051,0.0399,461.111111111111,461.111111111111,1,1,,,,,,
170211 170212,170211 SANDHSYD_SH1 13.8 170212 SANDHSYD_SH2 13.8,170211,170212,1,13.8,0,1e-04,11110,11110,1,1,,,,,,
170213 170214,170213 SANDHSYD_SH3 13.8 170214 SANDHSYD_SH4 13.8,170213,170214,1,13.8,0,1e-04,11110,11110,1,1,,,,,,
170215 170216,170215 SANDHS_SH_5A 18 170216 SANDHS_SH_5C 18,170215,170216,1,18,0,1e-04,11110,11110,1,1,,,,,,
170217 170218,170217 SANDHSYD_SH6 13.8 170218 SANDHSYD_SH7 13.8,170217,170218,1,13.8,0,1e-04,11110,11110,1,1,,,,,,
170236 170237,170236 HHGT_1 34.5 170237 HHGT_2 34.5,170236,170237,1,34.5,0,1e-04,11110,11110,1,1,,,,,,
170236 170252,170236 HHGT_1 34.5 170252 HHGT_1_STAR 1,170236,170252,1,34.5,0.00329,0.19134,194.444444444444,194.444444444444,1,1,,,,,,
170237 170253,170237 HHGT_2 34.5 170253 HHGT_2_STAR 1,170237,170253,1,34.5,0.00331,0.19157,194.444444444444,194.444444444444,1,1,,,,,,
