//scn,ara,int,BalancePrice,LoadFlowPrice,LoadLossPrice,LoadPrice,SourceFlowPrice,SourceLossPrice,SourcePrice,Loss,LossUpdate,LossError
ScnDA,WZ_SOUTH_CENTRAL,4,53.798,-20.564,0.000,33.234,-21.036,0.000,32.761,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,5,61.833,-29.324,0.000,32.509,-29.444,0.000,32.389,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,6,64.236,-31.442,0.000,32.794,-31.493,0.000,32.743,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,7,65.233,-32.045,0.000,33.188,-32.057,0.000,33.176,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,8,65.369,-32.107,0.000,33.262,-32.119,0.000,33.249,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,9,63.386,-30.483,0.000,32.903,-30.579,0.000,32.807,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,10,5.869,28.340,0.000,34.209,27.063,0.000,32.932,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,11,4.366,30.309,0.000,34.675,29.011,0.000,33.377,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,12,4.705,29.977,0.000,34.682,28.520,0.000,33.225,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_SOUTH_CENTRAL,13,4.163,30.503,0.000,34.666,29.042,0.000,33.205,+0.0000e+000,+0.0000e+000,+0.0000e+000
