//scn,inj,int,LMP,BalancePrice,FlowPrice,LossPrice,LossFactor,LfUpdate,LfError
ScnDA,109021_B1,24,31.302,15.834,15.468,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,1,30.050,41.777,-11.728,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,2,30.593,47.236,-16.643,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,3,32.605,52.955,-20.350,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,4,32.564,53.798,-21.234,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,5,32.709,61.833,-29.124,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,6,33.083,64.236,-31.153,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,7,33.530,65.233,-31.703,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,8,33.606,65.369,-31.762,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,9,32.895,63.386,-30.491,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,10,32.102,5.869,26.233,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,11,32.343,4.366,27.977,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,12,31.953,4.705,27.249,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,13,31.868,4.163,27.705,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,14,31.966,4.020,27.946,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,15,31.903,3.297,28.606,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,16,32.013,2.139,29.874,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,17,32.082,3.323,28.759,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,18,32.305,8.302,24.003,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,19,32.486,17.298,15.188,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,20,32.535,28.831,3.705,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,21,32.501,28.648,3.853,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,22,32.229,29.161,3.068,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109062_B1,23,31.566,15.936,15.630,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
