id,scn,start,end,cap_mod,bat,bat_mod,bat_min,bat_loc,xm_mod,dr_amnt,scn_ref,xm_rlx,xm_sf,xm_viol,ltsa,fev,ld_mdl,desc,ts,rpt_all,curtail
80,Scn_101,2013-11-20,2013-11-30,0,FALSE,0,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,INJ,"",2020-03-18 23:05:52 -0500,all,0
87,Scn_103,2013-11-20,2013-11-30,0.5,FALSE,0,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,INJ,rerunning since I messed up specs,2020-03-19 10:27:40 -0500,none,0
82,Scn_120,2013-11-20,2013-11-30,0.5,TRUE,0.15,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,INJ,"",2020-03-18 23:06:29 -0500,all,0
134,Scn_150,2013-11-20,2013-11-30,1,TRUE,0,0,38131_38360_60091_7315,0,0.05,Scn_015,0,0,0,ltsa_current_trends,concentrated,ARA,demand response sim,2020-04-08 18:44:35 -0500,chg,0
135,Scn_151,2013-11-20,2013-11-30,1,TRUE,0,0,38131_38360_60091_7315,0,0.1,Scn_150,0,0,0,ltsa_current_trends,concentrated,ARA,demand response sim,2020-04-08 19:56:42 -0500,chg,0
136,Scn_152,2013-11-20,2013-11-30,1,TRUE,0,0,38131_38360_60091_7315,0,0.15,Scn_151,0,0,0,ltsa_current_trends,concentrated,ARA,demand response sim,2020-04-08 20:46:26 -0500,chg,0
137,Scn_153,2013-11-20,2013-11-30,1,TRUE,0,0,38131_38360_60091_7315,0,0.2,Scn_152,0,0,0,ltsa_current_trends,concentrated,ARA,demand response sim,2020-04-08 21:20:20 -0500,chg,0
108,Scn_250,2013-11-20,2013-11-30,0.5,TRUE,0.15,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @15% bat,2020-03-23 12:00:45 -0500,none,0
109,Scn_251,2013-11-20,2013-11-30,0.75,TRUE,0.15,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @15% bat,2020-03-23 12:01:02 -0500,none,0
110,Scn_252,2013-11-20,2013-11-30,1,TRUE,0.15,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @15% bat,2020-03-23 12:01:15 -0500,none,0
111,Scn_253,2013-11-20,2013-11-30,1.25,TRUE,0.15,0,38131_38360_60091_7315,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,new cap_mod series @15% bat,2020-03-23 12:01:28 -0500,none,0
